HeatEnergyi	EnergyUseLight	ElUseDehumidifieri	Tghi	Tgh_naturali	RHghi	CO2airi	Tcovi	Tscreeni	VentVindui	Leakage_heati	Leakage_humi	alphawindi	alphaleei	DWyield	FWyield	NumberPlantsi	Tcropi	VPDcrop_airi	LEi	Rni	Bni	Pnci	radiIni	spTheat	spTvent	spRHghi	H2O_dehumi	Dewi	CO2supplyi
151.7982837	99	99	18.00229598	99	66.40614473	99	2.659303734	12.99956094	0.002687283751	99	99	6.770157237e-26	1.43195602e-42	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.8249157	99	99	18.00166063	99	66.34835292	99	2.625486106	12.98755434	0.001151823861	99	99	5.015455838e-26	8.685252295e-43	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.851489	99	99	18.00238939	99	66.28532277	99	2.588276492	12.97600785	0	99	99	3.71554107e-26	5.267871805e-43	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.8781296	99	99	17.9973246	99	66.24463753	99	2.537577588	12.9580626	0	99	99	2.752540524e-26	3.195125761e-43	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.9048082	99	99	17.99916172	99	66.17616539	99	2.48660388	12.93947215	0	99	99	2.039132174e-26	1.937941736e-43	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.9315319	99	99	17.99838895	99	66.11756591	99	2.437375717	12.92497995	0	99	99	1.510626269e-26	1.175421079e-43	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.9583103	99	99	17.998295	99	66.05578917	99	2.386717972	12.90713133	0	99	99	1.119099464e-26	7.129289227e-44	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
151.9851304	99	99	17.99869946	99	65.99164022	99	2.337161266	12.89186775	0	99	99	8.29049274e-27	4.324132498e-44	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
152.0120038	99	99	17.99808905	99	65.93094025	99	2.281308698	12.87305448	0	99	99	6.14174808e-27	2.622718937e-44	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
152.0388814	99	99	18.00009268	99	65.85902832	99	2.209414799	12.8502746	0	99	99	4.549918885e-27	1.590759447e-44	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
152.065783	99	99	17.99906895	99	65.79795462	99	2.137452854	12.82733496	0	99	99	3.370662812e-27	9.648443768e-45	99	99	99	99	99	99	99	99	99	0	18	20	80	99	99	99
